,name,payment_modes,locality
4062,Ovenstory Pizza,,"Hinjawadi, Pune"
4063,Shiv Sagar,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
4064,Indori Sarafa,,"Hinjawadi, Pune"
4065,Dadu's Sweet Emporio,,"Kothrud, Pune"
4066,A1 Pizza,"
Digital payments accepted","Parvati, Pune"
4067,Shazy's Cafe,,"Wadgaon Sheri, Pune"
4068,Shegaon Kachori,,"Bhosari, Pune"
4069,Shreeji Ice Cream,"
Digital payments accepted","Dhanori, Pune"
4070,Wow Burger,,"Pimpri, Pune"
4071,Cafe Co2 Resto Lounge,"Cash and Cards accepted
Digital payments accepted","Bhugaon, Pune"
4072,The Twisty Potato,"
Digital payments accepted","Magarpatta, Pune"
4073,Snack House,,"Pimple Saudagar, Pune"
4074,Nation 330,"Cash and Cards accepted
Digital payments accepted","Aditya Shagun Mall, Bavdhan, Pune"
4075,Chinese Express And Biryani House,,"Wakad, Pune"
4076,Hotel Sitara Garden,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
4077,Midnight Memories,,"Dhankawadi, Pune"
4078,The Chinese Food,,"Karve Nagar, Pune"
4079,Italian Waffles Fries N Ice-Cream,"
Digital payments accepted","Akurdi, Pune"
4080,Zoom In,,"Ravet, Pune"
4081,Burger Cafe,"
Digital payments accepted","Kharadi, Pune"
4082,Theobroma,,"MG Road, Pune"
4083,Famous Kulfi & Rabdi,"
Digital payments accepted","Wakad, Pune"
4084,Cafe Love Bite,"
Digital payments accepted","Viman Nagar, Pune"
4085,Old Mumbai Ice Cream,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
4086,The Creamy Land,"
Digital payments accepted","Aundh, Pune"
4087,Hotel Garwa Swad Gawakadcha Veg  And Non Veg,,"Hadapsar, Pune"
4088,Andhra Gunpowder,,"Wagholi, Pune"
4089,Paratha Envy,,"Wagholi, Pune"
4090,Arabian Knights Cafe And Restaurant,"
Digital payments accepted","Aundh, Pune"
4091,Tummy Ticklers,,"Katraj, Pune"
4092,Itminaan Biryani - Dum Pukht,,"Kharadi, Pune"
4093,Sharda Bhel,"
Digital payments accepted","Bibvewadi, Pune"
4094,Litti Bites,,"Dhanori, Pune"
4095,Domi'o Pizza,,"Kothrud, Pune"
4096,Hotel Yatrik Yashraj Restaurant,"Cash and Cards accepted
Digital payments accepted","Budhwar Peth, Pune"
4097,Kerala Food House,"
Digital payments accepted","Viman Nagar, Pune"
4098,Mubarak Caterers Biryani House,"
Digital payments accepted","Hadapsar, Pune"
4099,The Good Bowl,,"Mundhwa, Pune"
4100,Chandrama Restaurant & Bar,Cash and Cards accepted,"Koregaon Park, Pune"
4101,Ruro's Cake N Cafe,,"Hadapsar, Pune"
4102,Copper Chocs,"Cash, Cards and Meal Coupons accepted","Fatima Nagar, Pune"
4103,Udta Punjab,,"Hadapsar, Pune"
4104,Royal Meethas Sweets And Dryfruits,Cash and Cards accepted,"Kondhwa, Pune"
4105,Rap N Roll,,"Kharadi, Pune"
4106,Vc's Virat Pure Veg,"
Digital payments accepted","Nigdi, Pune"
4107,Shivalini Chinese,"
Digital payments accepted","Sadashiv Peth, Pune"
4108,Cafe Yaari Dosti,"
Digital payments accepted","Dhanori, Pune"
4109,Lucky Caterers And Biryani House,,"Hadapsar, Pune"
4110,Ramzan Caterers,,"Hadapsar, Pune"
4111,Andhra Gunpowder,,"Baner, Pune"
4112,Cafe Me Time,,"Sinhgad Road, Pune"
4113,Ovenstory Pizza,,"Shaniwar Peth, Pune"
4114,Kelvin 77,,"Bhosari, Pune"
4115,GLOBO Ice Creams Of The World,,"Kharadi, Pune"
4116,Paratha House & Food Plaza,"
Digital payments accepted","Pimpri, Pune"
4117,Oye Momo !,,"Wagholi, Pune"
4118,Cakes 'N' Coffee - Retail,,"Camp Area, Pune"
4119,Maddy Eating Point,,"Undri, Pune"
4120,The Shawarma Garden,"
Digital payments accepted","Pimpri, Pune"
4121,Ovenstory Pizza,,"Kharadi, Pune"
4122,Bake House Cafe - Cakes & More,"
Digital payments accepted","Sinhgad Road, Pune"
4123,Pind Da Zaika,,"Baner, Pune"
4124,Chinese Wok - Wok Express,"Cash and Cards accepted
Digital payments accepted","Kumar Pacific Mall, Swargate, Pune"
4125,Radhika - Flavours of East,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
4126,Hungry Smith,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
4127,Sweet Box,,"Chinchwad, Pune"
4128,Vohuman Cafe,Cash and Cards accepted,"Dhole Patil Road, Pune"
4129,Abdul Gafoor Suleman Usman Mithaiwala,,"Camp Area, Pune"
4130,Cafe Georgia,"
Digital payments accepted","Hinjawadi, Pune"
4131,ECOF Enterprise,,"Shukrawar Peth, Pune"
4132,Rohit Wadewale,"
Digital payments accepted","Pashan, Pune"
4133,Tutto Pepe,"
Digital payments accepted","Baner, Pune"
4134,Vega @37,"
Digital payments accepted","Kondhwa, Pune"
4135,Teritree,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
4136,The Bengal Kitchen,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
4137,Siddhesh Dairy's Praj Milk Products,,"Narhe, Pune"
4138,Cake & Cream,,"Pimple Saudagar, Pune"
4139,P & K Cafe,,"Hadapsar, Pune"
4140,MH 14 King Of Chinese & Tandoor,,"Wakad, Pune"
4141,Hotel Lucky,,"Kondhwa, Pune"
4142,Kiwa Restaurant & Bar,"
Digital payments accepted","Kharadi, Pune"
4143,Haldiram's Express,,"Wadgaon Sheri, Pune"
4144,Umiya Kutchi Dabeli,"
Digital payments accepted","Kothrud, Pune"
4145,Hotel Shree Vinayaka Pure Veg,"
Digital payments accepted","Pimple Gurav, Pune"
4146,Pizza Company,,"Hadapsar, Pune"
4147,Crazy Biryani House,,"Pimple Saudagar, Pune"
4148,Burger  Bites,,"Hinjawadi, Pune"
4149,Hayat Biryani Factory,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
4150,Sai Darshini South Indian Cafe,,"Wakad, Pune"
4151,Yonies - Good Vibes & Pizzas,,"Koregaon Park, Pune"
4152,Jay Shivshankar Icecream & Mastani House,"
Digital payments accepted","Dhankawadi, Pune"
4153,Mahalaxmi Foods,,"Wagholi, Pune"
4154,Nayab,,"Pimpri, Pune"
4155,Samudra,"Cash, Cards and Meal Coupons accepted","Erandwane, Pune"
4156,Hotel Patil Misal House,"
Digital payments accepted","Pimple Gurav, Pune"
4157,Meena Pav Bhaji Chinese & Juice Bar,,"Parvati, Pune"
4158,Shri Ram Pure Veg,,"Viman Nagar, Pune"
4159,Royal Hotel,"
Digital payments accepted","Wakad, Pune"
4160,Infinity Cafe,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
4161,Royal Palace,,"Dhanori, Pune"
4162,MH 14 Momoj Wale,,"Dange Chowk, Pune"
4163,Pizza Hut,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","SGS Mall, Camp Area, Pune"
4164,Bagban's Chef,Cash and Cards accepted,"Bibvewadi, Pune"
4165,Gaurav Biryani House,"Cash and Cards accepted
Digital payments accepted","Shukrawar Peth, Pune"
4166,Captain Coffee,"
Digital payments accepted","Hadapsar, Pune"
4167,Hotel Avishkar Veg - Non-Veg,,"Magarpatta, Pune"
4168,Oye Kakke By Spice Factory,,"Kharadi, Pune"
4169,Hotel Anand Garden,"Cash and Cards accepted
Digital payments accepted","Narhe, Pune"
4170,Annapurna Bhojanalaya,,"Kothrud, Pune"
4171,Bread Bash,"
Digital payments accepted","Pimple Gurav, Pune"
4172,Home Made Meal Box,,"Akurdi, Pune"
4173,Krushna Khandesh,,"Shaniwar Peth, Pune"
4174,South Express,"Cash and Cards accepted
Digital payments accepted","Undri, Pune"
4175,Mahalaxmi Pure Veg,"
Digital payments accepted","Fatima Nagar, Pune"
4176,Mato Shree Dairy Farm & Ice Cream Parlour,,"Dhankawadi, Pune"
4177,Jai Malhar Pure Non-Veg Restaurant,"
Digital payments accepted","Pune University, Pune"
4178,Dakkhani Misal,"
Digital payments accepted","Wakad, Pune"
4179,Sheetal Udipi Restaurant & Juice Bar,"
Digital payments accepted","Pimpri, Pune"
4180,Fine Bakers,,"Nigdi, Pune"
4181,AR's Arebian Shawarma,,"Sinhgad Road, Pune"
4182,Zippyfeed,,"JM Road, Pune"
4183,Restro The Pasta,,"Wakad, Pune"
4184,Ghar Ka Khana,"
Digital payments accepted","Pimple Saudagar, Pune"
4185,Go Rigo Go,"Cash and Cards accepted
Digital payments accepted","Salunkhe Vihar Road, Pune"
4186,Honeycane,,"Erandwane, Pune"
4187,Deli Treats,,"Ravet, Pune"
4188,Ganesh Bhel,"
Digital payments accepted","Aundh, Pune"
4189,Biryani-Kar,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
4190,RD's Kitchen,"
Digital payments accepted","Nigdi, Pune"
4191,Tirangi Rassa Missal & Restaurant Cafe,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
4192,Dosti Pizza And Cafe,,"Pimpri, Pune"
4193,The Urban Vadapav,,"Nigdi, Pune"
4194,Sagar Inn,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
4195,Venkatesh Bhojanalaya,"
Digital payments accepted","Pimple Gurav, Pune"
4196,The Meal House,,"Pimple Saudagar, Pune"
4197,Mothers Canteen,,"Pimpri, Pune"
4198,Radio Shack Restaurants Sea Food,,"Dhanori, Pune"
4199,La Cheezy,"
Digital payments accepted","Chandan Nagar, Pune"
4200,Thunder Burg,,"Viman Nagar, Pune"
4201,Mahaveer Foods,,"Wanowrie, Pune"
4202,Gourmet Ice Cream Cakes By Baskin Robbins,,"Viman Nagar, Pune"
4203,Burger Point,"
Digital payments accepted","Hadapsar, Pune"
4204,Hyderabadi Zaika,"
Digital payments accepted","Chandan Nagar, Pune"
4205,Firangi Bake,,"Pimple Saudagar, Pune"
4206,Satwik Dining Hall,"
Digital payments accepted","Deccan Gymkhana, Pune"
4207,Aiyyo Rama,"
Digital payments accepted","Hadapsar, Pune"
4208,Aishwarya Shreejee Pure Veg,"Cash and Cards accepted
Digital payments accepted","Dhankawadi, Pune"
4209,Sweet Point,,"Dhanori, Pune"
4210,BOX8 - Desi Meals,,"Wakad, Pune"
4211,Hotel Sana Biryani House,,"Wakad, Pune"
4212,Hyderabadi King Dum Box Biryani,,"Karve Nagar, Pune"
4213,Naivedyam,,"Lohegaon, Pune"
4214,Burger HUB,,"Dhanori, Pune"
4215,Shri Gajanan Kachori,"
Digital payments accepted","Kothrud, Pune"
4216,Shree Ganpati Bhuvan,,"Shivaji Nagar, Pune"
4217,The Steam Room,,"Wadgaon Sheri, Pune"
4218,Made In China,,"Hadapsar, Pune"
4219,Hindavi Swarajya Chaat,,"Pimple Gurav, Pune"
4220,Wifi Tea Irani Cafe,"
Digital payments accepted","Baner, Pune"
4221,Subway,"Cash and Cards accepted
Digital payments accepted","East Street, Pune"
4222,Aroma's Hyderabad House,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Warje, Pune"
4223,Theobroma,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
4224,Sai Sagar,"Cash and Cards accepted
Digital payments accepted","Wanowrie, Pune"
4225,Churro Mania,Cash and Cards accepted,"Bibvewadi, Pune"
4226,New Sweet Home Hotel Abhijat,,"Sadashiv Peth, Pune"
4227,Vrundavan,"Cash and Cards accepted
Digital payments accepted","Lohegaon, Pune"
4228,Sugren Restaurant,Cash and Cards accepted,"Fatima Nagar, Pune"
4229,Blue Shack,Cash and Cards accepted,"Mundhwa, Pune"
4230,Spring Onion,,"Wakad, Pune"
4231,Mummy's Curry Point and Biryani,,"Magarpatta, Pune"
4232,Hotel Shivanjali,Cash and Cards accepted,"Pashan, Pune"
4233,AFC,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
4234,Meals Combos@69,,"Bavdhan, Pune"
4235,Biryalicious,,"Hadapsar, Pune"
4236,Spot99,,"Chinchwad, Pune"
4237,The Waffle Jar,,"Erandwane, Pune"
4238,Baker's Cake Zone,,"Phursungi, Pune"
4239,Shivneri,"
Digital payments accepted","Chinchwad, Pune"
4240,SD Cafe,"
Digital payments accepted","Pashan, Pune"
4241,The Chinese Box,,"Aundh, Pune"
4242,Chinjabi,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
4243,Ganesh Bhel,"
Digital payments accepted","Kothrud, Pune"
4244,Thali Masters,,"Wakad, Pune"
4245,KFC,"Cash, Cards and Meal Coupons accepted","Amanora Town Centre, Hadapsar, Pune"
4246,Kashmiri Biryani Restaurant,,"Balewadi, Pune"
4247,Art Of Pasta,,"Kharadi, Pune"
4248,Green Court Resto N Bar,Cash and Cards accepted,"Fatima Nagar, Pune"
4249,LunchBox - Meals and Thalis,,"Wakad, Pune"
4250,Chinese Square,"
Digital payments accepted","Pimple Nilakh, Pune"
4251,Kurry Masala,,"Pimpri, Pune"
4252,Burger Express,"
Digital payments accepted","Yerawada, Pune"
4253,La Pizzeria by Little Italy,"Cash and Cards accepted
Digital payments accepted","Balewadi High Street, Baner, Pune"
4254,Al Safa,,"Lohegaon, Pune"
4255,Coffee King,,"Wagholi, Pune"
4256,The London Cafe,,"Pimpri, Pune"
4257,New Poona Bakery & Cafe,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
4258,The Hungry Hippie Cafe,"
Digital payments accepted","Shukrawar Peth, Pune"
4259,Chitale Bandhu Mithaiwale ,,"Chinchwad, Pune"
4260,Mankar Dosa,"
Digital payments accepted","Kalyani Nagar, Pune"
4261,Biryani Bowl,,"Pimple Gurav, Pune"
4262,Biryanibad,"
Digital payments accepted","Kondhwa, Pune"
4263,Biggies Burger,"
Digital payments accepted","NIBM Road, Pune"
4264,Arabian Bites,"
Digital payments accepted","Viman Nagar, Pune"
4265,Momo & Co.,,"Karve Nagar, Pune"
4266,Il Fungo Magico,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
4267,Joshi Wadewale,,"Baner, Pune"
4268,The Sugar Free Keto Kafe - By Artinci,,"Kalyani Nagar, Pune"
4269,Waranga Special Biryani,,"Karve Nagar, Pune"
4270,Sudama Bhel,"
Digital payments accepted","Erandwane, Pune"
4271,Pizzasta,,"Pimple Saudagar, Pune"
4272,Shanti Swapakaghar,"
Digital payments accepted","Sinhgad Road, Pune"
4273,Blue Dragon,"Cash and Debit Cards accepted
Digital payments accepted","Aundh, Pune"
4274,Ribbons & Balloons,,"Sinhgad Road, Pune"
4275,Temptation Cake's & Cafe,"
Digital payments accepted","Baner, Pune"
4276,Divine Biryani House,,"Pimple Nilakh, Pune"
4277,Cafe Hibiscus,"
Digital payments accepted","Baner, Pune"
4278,Red Dragon Chinese,,"Dange Chowk, Pune"
4279,Chaayos Chai+Snacks=Relax,,"Kharadi, Pune"
4280,R.K. Caterers (Biryaniwale),,"Akurdi, Pune"
4281,The Biryani Life,,"Wakad, Pune"
4282,Zhatpat Local,"
Digital payments accepted","Viman Nagar, Pune"
4283,Maharaja Combos,,"Mulshi Road, Pune"
4284,Hotel Keema,"
Digital payments accepted","Wakad, Pune"
4285,Copper Chocs,"Cash and Cards accepted
Digital payments accepted","Bund Garden Road, Pune"
4286,Aroma's Kitchen,,"Mundhwa, Pune"
4287,Chom Chom By Spice Factory,,"Kharadi, Pune"
4288,China Wale,,"Kondhwa, Pune"
4289,Mauli Bhel,,"Bhosari, Pune"
4290,Sukhkarta Pure Veg Dininig Hall,,"Kothrud, Pune"
4291,Mainland Chinese,,"Erandwane, Pune"
4292,Chaats And Wraps,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
4293,Puneri Katta,,"Wanowrie, Pune"
4294,The Hungry Shack,"
Digital payments accepted","Kondhwa, Pune"
4295,POT Biryani By Haldiram's,,"Pimple Nilakh, Pune"
4296,Hotel Vedant Pure Veg,"Cash and Cards accepted
Digital payments accepted","Katraj, Pune"
4297,Punjabi Rasoi,"
Digital payments accepted","Pimpri, Pune"
4298,Dattaprasad Hotel,,"Katraj, Pune"
4299,Khaugali Meal House,,"Kharadi, Pune"
4300,Pind De Tikke,,"Westend Mall, Aundh, Pune"
4301,Gajraj Fast Food,,"Yerawada, Pune"
4302,Sufiz Bake House,,"Kondhwa, Pune"
4303,Dabba Wala,,"Hadapsar, Pune"
4304,7th Heaven,,"Wakad, Pune"
4305,Bhavnagari Dry Fruit,,"Wanowrie, Pune"
4306,The Veg Culture,,"Sinhgad Road, Pune"
4307,Diamond,,"Lohegaon, Pune"
4308,Hotel Rajwardhan,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
4309,Chinese Tummy,,"Hinjawadi, Pune"
4310,Shreeji Pure Veg,"Cash and Cards accepted
Digital payments accepted","Narhe, Pune"
4311,MANKAR DOSA,,"Hadapsar, Pune"
4312,The Family Dragon,"
Digital payments accepted","Sadashiv Peth, Pune"
4313,Food EZZ,,"Aundh, Pune"
4314,Tiranga Family Restaurant,"
Digital payments accepted","Bhosari, Pune"
4315,Swaad-a-Chawal,,"Bavdhan, Pune"
4316,Apna Punjab,"Cash and Cards accepted
Digital payments accepted","Magarpatta, Pune"
4317,Lajawab Hyderabad,,"Kharadi, Pune"
4318,Oblique Kitchen,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
4319,Puneri Dosa Center,,"Bavdhan, Pune"
4320,Seervi Bandhu Mithaiwala,,"Chandan Nagar, Pune"
4321,Bundelkhandi Swad,"
Digital payments accepted","Wakad, Pune"
4322,Bramhas Kitchen,,"Wakad, Pune"
4323,Sudama Bhel,,"Wadgaon Sheri, Pune"
4324,Roasted Cafe,,"Wakad, Pune"
4325,Sai Snacks Center,"
Digital payments accepted","Hinjawadi, Pune"
4326,FML - Food Music Love,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
4327,Aishwarya Veg Non Veg,"Cash and Cards accepted
Digital payments accepted","Law College Road, Pune"
4328,Pizza Hut,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
4329,Pizza Ville,,"Swargate, Pune"
4330,Mankar Dosa Centre,"
Digital payments accepted","Kothrud, Pune"
4331,Dhokla House Sweets And Namkeen,,"Bibvewadi, Pune"
4332,Zara Family Restaurant,,"Hadapsar, Pune"
4333,Momentt- Enrise By Sayaji,"Cash and Cards accepted
Digital payments accepted","Sayaji Hotels, Wakad, Pune"
4334,Sri Krishna Aanand Bhavan,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
4335,Havmor Ice Cream,,"Shaniwar Peth, Pune"
4336,Mr Fried Crunch,,"Viman Nagar, Pune"
4337,LunchBox - Meals and Thalis,,"Baner, Pune"
4338,Tuljabhavani Chinese Corner,"Cash and Cards accepted
Digital payments accepted","Wadgaon Sheri, Pune"
4339,Fountain Hot Chinese Fast Food,"
Digital payments accepted","Pimpri, Pune"
4340,Jumboking - Indian Burger,"
Digital payments accepted","Wakad, Pune"
4341,BOX8 - Desi Meals,,"Dhayari, Pune"
4342,Jashn E Punjab,,"Kharadi, Pune"
4343,La Gustosa,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
4344,The Clover Bar And Kitchen,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
4345,The Biryani Life,,"Hinjawadi, Pune"
4346,Panchami Hotel,,"Chinchwad, Pune"
4347,Shahu Misal & Rajmandir Ice Cream,,"Karve Nagar, Pune"
4348,New Shegaon Kachori Centre,"
Digital payments accepted","Kothrud, Pune"
4349,Biryani Badshah,,"Viman Nagar, Pune"
4350,Arms Diet Cafe,,"Hinjawadi, Pune"
4351,Kirti Fruit Juice Center,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
4352,The Daily Baker,,"Pimple Gurav, Pune"
4353,Bhojaan,,"Viman Nagar, Pune"
4354,Asia Seven Elpro,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
4355,Irani Chai Cafe,"
Digital payments accepted","Bavdhan, Pune"
4356,Bholashet Samosa And Sweets,,"Erandwane, Pune"
4357,Riya Corner,,"Dhankawadi, Pune"
4358,Tanishkaraj Bhurji And Snacks,,"Shaniwar Peth, Pune"
4359,Kiosk Kaffee,,"Koregaon Park, Pune"
4360,Tentacion Cake Shop,,"East Street, Pune"
4361,Dragon Fire,,"Karve Nagar, Pune"
4362,Leaf Restaurant,"
Digital payments accepted","Chandan Nagar, Pune"
4363,Cafe Eatitude,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
4364,Ashoka Resto Bar,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Nilakh, Pune"
4365,Whistle Podu,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
4366,Fountain Family Rest O Bar,Cash and Cards accepted,"Shivaji Nagar, Pune"
4367,Vrundavan,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
4368,Full Meal,,"Baner, Pune"
4369,The Kitchen,,"Mundhwa, Pune"
4370,The Bowl Factory,,"Wakad, Pune"
4371,Ukiyo: The Ritz-Carlton,Cash and Cards accepted,"Ritz Carlton, Yerwada, Pune"
4372,Mummy's Rasoi,,"Dhanori, Pune"
4373,Swadisht Idli & Pav Bhaji,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
4374,The Sandwich Box,,"Wanowrie, Pune"
4375,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Pimple Saudagar, Pune"
4376,Rangla Punjab,"Cash and Cards accepted
Digital payments accepted","Pashan, Pune"
4377,Hyderabadi Biryani Express,,"Kharadi, Pune"
4378,Malabar,,"Model Colony, Pune"
4379,Arpita Garden And family Restaurant,Cash and Cards accepted,"Lohegaon, Pune"
4380,Tutto Bene,,"Shivaji Nagar, Pune"
4381,Kannu Ki Chai,"
Digital payments accepted","Aundh, Pune"
4382,Kathi Roll Inc,,"Viman Nagar, Pune"
4383,Hotel Tanmaysree,"
Digital payments accepted","Sinhgad Road, Pune"
4384,KGN Xprs,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
4385,Swad Gomantak,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
4386,Biryani Hub,"
Digital payments accepted","Sadashiv Peth, Pune"
4387,Hotel Om Raghav-Kokan Katta,,"Pimpri, Pune"
4388,MomNom,,"Baner, Pune"
4389,Shree Krishna,,"Kharadi, Pune"
4390,Talaf Pan Shop,,"Wakad, Pune"
4391,Chaat Bazaar,"Cash and Cards accepted
Digital payments accepted","Kumar Pacific Mall, Swargate, Pune"
4392,Barista,Cash and Cards accepted,"City Hub @ WTC, Kharadi, Pune"
4393,Chaayos Chai+Snacks=Relax,,"Hinjawadi, Pune"
4394,Desi Adda,"
Digital payments accepted","Kharadi, Pune"
4395,Crazy Momos,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
4396,Milaf Kulfi,,"Sadashiv Peth, Pune"
4397,Cafe Food Culture,"
Digital payments accepted","Wakad, Pune"
4398,Kalbhor Sweets,,"Hadapsar, Pune"
4399,Balaji Pav Bhaji,"
Digital payments accepted","Ravet, Pune"
4400,The Kitchen Counter,,"Wadgaon Sheri, Pune"
4401,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Pimpri, Pune"
4402,Cafe Little Plates,"
Digital payments accepted","Akurdi, Pune"
4403,Hite Bar,Cash and Cards accepted,"Kondhwa, Pune"
4404,Hotel Jagdamb,,"Bibvewadi, Pune"
4405,Handi Fusion,"
Digital payments accepted","Hadapsar, Pune"
4406,B For Biryani,,"Hadapsar, Pune"
4407,Kebab Corner,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
4408,The Good Bowl,,"Viman Nagar, Pune"
4409,Foodie,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
4410,SK's Katthi Kabab Rolls,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
4411,Ashwini's kitchen,,"Baner, Pune"
4412,Swad Malvani,"
Digital payments accepted","Wadgaon Sheri, Pune"
4413,Cafe Momo Corner,,"Dhanori, Pune"
4414,WOW! Momo,Cash and Cards accepted,"Westend Mall, Aundh, Pune"
4415,Firangi Bake,,"Viman Nagar, Pune"
4416,Punjabi Paratha House,,"Karve Nagar, Pune"
4417,Project Fries,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
4418,Pav Bhaji Company,,"Ravet, Pune"
4419,Poonam Restaurant,,"Akurdi, Pune"
4420,JOJO Veg Non-Veg Thali,,"Phursungi, Pune"
4421,Cafe Durga,"
Digital payments accepted","Bavdhan, Pune"
4422,King's Resto Bar,Cash and Cards accepted,"East Street, Pune"
4423,Super Momos,,"Pimple Saudagar, Pune"
4424,Vicki's,Cash and Cards accepted,"Bizz Bay Mall, NIBM Road, Pune"
4425,Reddy's Biryani Zone,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
4426,Leonas Cafe,"
Digital payments accepted","Pimple Saudagar, Pune"
4427,Shawarma Delight,"
Digital payments accepted","Pimpri, Pune"
4428,Belgian Waffles & Chocolates,,"Wadgaon Sheri, Pune"
4429,Maratha Samrat,Cash and Cards accepted,"Baner, Pune"
4430,Priya,,"MG Road, Pune"
4431,Cafe StarBoy,"
Digital payments accepted","Aundh, Pune"
4432,Snack House,,"Ravet, Pune"
4433,Hotel Chetak Biryani House,,"Fatima Nagar, Pune"
4434,18 Degrees Resto Lounge,"Cash and Cards accepted
Digital payments accepted","Spot 18 Mall, Pimple Saudagar, Pune"
4435,Eagle Brother's Pizza,Cash and Cards accepted,"NIBM Road, Pune"
4436,Chow Chow Chinese,,"Erandwane, Pune"
4437,Sairam Foods,,"Budhwar Peth, Pune"
4438,Eat's Time,"
Digital payments accepted","Mundhwa, Pune"
4439,Hotel 5181,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
4440,Shree Sai Snacks And Grills,"
Digital payments accepted","Sinhgad Road, Pune"
4441,Biryani Khau Galli,,"Chandan Nagar, Pune"
4442,Cake Time,Cash and Debit Cards accepted,"Fatima Nagar, Pune"
4443,Modern Chinese Fast Food,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
4444,East Pizza Co.,"
Digital payments accepted","Kharadi, Pune"
4445,WOW! Momo,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
4446,Dragon,"
Digital payments accepted","Aundh, Pune"
4447,Ganesh Bhel,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
4448,Hotel Devasa,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
4449,Anna Bhajiwale,"
Digital payments accepted","Hadapsar, Pune"
4450,Balaji Fast Food,"
Digital payments accepted","Aundh, Pune"
4451,Momos Wala,,"Nigdi, Pune"
4452,Chaitanya Paranthas,Cash and Cards accepted,"Viman Nagar, Pune"
4453,SV Chinese,"
Digital payments accepted","Baner, Pune"
4454,Sairaj Rolls House,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
4455,Shree Upahar Gruha,"
Digital payments accepted","Sinhgad Road, Pune"
4456,Subway,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Wakad, Pune"
4457,Itminaan Biryani - Dum Pukht,,"Hadapsar, Pune"
4458,Ganesh Bhel,,"Nigdi, Pune"
4459,Kinara,Cash and Cards accepted,"Katraj, Pune"
4460,Hotel Vishvshanti Snacks & Fast Food,"
Digital payments accepted","Hadapsar, Pune"
4461,Badshahi Hyderabadi,,"Sadashiv Peth, Pune"
4462,The Village Food Park ,,"Sus, Pune"
4463,Punjabi Zaika,"
Digital payments accepted","Chinchwad, Pune"
4464,Cakes N Balloons,,"Pashan, Pune"
4465,Indian Cafe ,,"Hadapsar, Pune"
4466,Sugee Veg Fast Food,Cash and Cards accepted,"Undri, Pune"
4467,House Of Belgian Waffle,,"Wakad, Pune"
